name,category,path,tags,popularity
background_dot_small,_other,/static/app/icon_library/icons/_other/background_dot_small.svg,,0
background_grid_small,_other,/static/app/icon_library/icons/_other/background_grid_small.svg,,0
background_replace,_other,/static/app/icon_library/icons/_other/background_replace.svg,,0
backlight_high,_other,/static/app/icon_library/icons/_other/backlight_high.svg,,0
backlight_high_off,_other,/static/app/icon_library/icons/_other/backlight_high_off.svg,,0
backlight_low,_other,/static/app/icon_library/icons/_other/backlight_low.svg,,0
badge_critical_battery,_other,/static/app/icon_library/icons/_other/badge_critical_battery.svg,,0
badminton,_other,/static/app/icon_library/icons/_other/badminton.svg,,0
bar_chart_4_bars,_other,/static/app/icon_library/icons/_other/bar_chart_4_bars.svg,,0
bar_chart_off,_other,/static/app/icon_library/icons/_other/bar_chart_off.svg,,0
barcode,_other,/static/app/icon_library/icons/_other/barcode.svg,,0
barcode_reader,_other,/static/app/icon_library/icons/_other/barcode_reader.svg,,0
barcode_scanner,_other,/static/app/icon_library/icons/_other/barcode_scanner.svg,,0
barefoot,_other,/static/app/icon_library/icons/_other/barefoot.svg,,0
bath_bedrock,_other,/static/app/icon_library/icons/_other/bath_bedrock.svg,,0
bath_outdoor,_other,/static/app/icon_library/icons/_other/bath_outdoor.svg,,0
bath_private,_other,/static/app/icon_library/icons/_other/bath_private.svg,,0
bath_public_large,_other,/static/app/icon_library/icons/_other/bath_public_large.svg,,0
bath_soak,_other,/static/app/icon_library/icons/_other/bath_soak.svg,,0
battery_android_0,_other,/static/app/icon_library/icons/_other/battery_android_0.svg,,0
battery_android_1,_other,/static/app/icon_library/icons/_other/battery_android_1.svg,,0
battery_android_2,_other,/static/app/icon_library/icons/_other/battery_android_2.svg,,0
battery_android_3,_other,/static/app/icon_library/icons/_other/battery_android_3.svg,,0
battery_android_4,_other,/static/app/icon_library/icons/_other/battery_android_4.svg,,0
battery_android_5,_other,/static/app/icon_library/icons/_other/battery_android_5.svg,,0
battery_android_6,_other,/static/app/icon_library/icons/_other/battery_android_6.svg,,0
battery_android_alert,_other,/static/app/icon_library/icons/_other/battery_android_alert.svg,,0
battery_android_bolt,_other,/static/app/icon_library/icons/_other/battery_android_bolt.svg,,0
battery_android_frame_1,_other,/static/app/icon_library/icons/_other/battery_android_frame_1.svg,,0
